,Date,Symbols,High,Low,Open,Close,Volume,Adj Close,Company_name
188,2015-04-13,brk-a,216160,215321,215720,215950,200,215950,Berkshire Hathaway Inc.
189,2015-04-14,brk-a,215400,213620,215100,214420,300,214420,Berkshire Hathaway Inc.
190,2015-04-15,brk-a,215496,214260,214260,214675,300,214675,Berkshire Hathaway Inc.
191,2015-04-16,brk-a,215066,213500,214180,214350,200,214350,Berkshire Hathaway Inc.
192,2015-04-17,brk-a,213345,211960,212990,212982,500,212982,Berkshire Hathaway Inc.
193,2015-04-20,brk-a,214872,213590,214000,214100,300,214100,Berkshire Hathaway Inc.
194,2015-04-21,brk-a,214860,213112,214760,213440,200,213440,Berkshire Hathaway Inc.
195,2015-04-22,brk-a,214900,213360,213900,214789,200,214789,Berkshire Hathaway Inc.
196,2015-04-23,brk-a,215575,214000,214100,214740,300,214740,Berkshire Hathaway Inc.
197,2015-04-24,brk-a,214900,214022,214615,214490,200,214490,Berkshire Hathaway Inc.
198,2015-04-27,brk-a,214720,212432,214575,212585,500,212585,Berkshire Hathaway Inc.
199,2015-04-28,brk-a,215150,212195,212500,215150,400,215150,Berkshire Hathaway Inc.
200,2015-04-29,brk-a,215000,213500,214200,214400,200,214400,Berkshire Hathaway Inc.
201,2015-04-30,brk-a,214706,212806,214000,213400,300,213400,Berkshire Hathaway Inc.
202,2015-05-01,brk-a,215930,213650,214666,215800,300,215800,Berkshire Hathaway Inc.
203,2015-05-04,brk-a,220100,217333,217800,219290,500,219290,Berkshire Hathaway Inc.
204,2015-05-05,brk-a,220250,218000,219200,218000,300,218000,Berkshire Hathaway Inc.
205,2015-05-06,brk-a,219105,215820,219000,216620,200,216620,Berkshire Hathaway Inc.
206,2015-05-07,brk-a,219000,216295,216620,218720,200,218720,Berkshire Hathaway Inc.
207,2015-05-08,brk-a,222880,220140,220300,222880,400,222880,Berkshire Hathaway Inc.
208,2015-05-11,brk-a,223011,219550,223000,219550,100,219550,Berkshire Hathaway Inc.
209,2015-05-12,brk-a,218979,216950,218979,217800,100,217800,Berkshire Hathaway Inc.
210,2015-05-13,brk-a,217871,216800,217290,217200,200,217200,Berkshire Hathaway Inc.
211,2015-05-14,brk-a,219270,217591,217945,219270,100,219270,Berkshire Hathaway Inc.
212,2015-05-15,brk-a,219899,217830,219899,218640,100,218640,Berkshire Hathaway Inc.
213,2015-05-18,brk-a,219386,218145,218760,219125,100,219125,Berkshire Hathaway Inc.
214,2015-05-19,brk-a,220650,218250,219000,220400,300,220400,Berkshire Hathaway Inc.
215,2015-05-20,brk-a,220000,218816,219900,219526,200,219526,Berkshire Hathaway Inc.
216,2015-05-21,brk-a,219343,218280,219343,218280,100,218280,Berkshire Hathaway Inc.
217,2015-05-22,brk-a,218250,216960,217780,217000,300,217000,Berkshire Hathaway Inc.
218,2015-05-26,brk-a,217500,215675,216995,215700,300,215700,Berkshire Hathaway Inc.
219,2015-05-27,brk-a,217905,215950,216100,217440,100,217440,Berkshire Hathaway Inc.
220,2015-05-28,brk-a,217880,216330,217880,217580,100,217580,Berkshire Hathaway Inc.
221,2015-05-29,brk-a,217080,214800,217080,214800,300,214800,Berkshire Hathaway Inc.
222,2015-06-01,brk-a,216420,215160,215260,215400,200,215400,Berkshire Hathaway Inc.
223,2015-06-02,brk-a,215160,213821,215100,214820,300,214820,Berkshire Hathaway Inc.
224,2015-06-03,brk-a,215920,214251,215503,214600,200,214600,Berkshire Hathaway Inc.
225,2015-06-04,brk-a,214411,212360,214411,212585,200,212585,Berkshire Hathaway Inc.
226,2015-06-05,brk-a,213060,211380,212620,211560,200,211560,Berkshire Hathaway Inc.
227,2015-06-08,brk-a,211400,210000,211400,210000,200,210000,Berkshire Hathaway Inc.
228,2015-06-09,brk-a,210897,209240,209400,209700,200,209700,Berkshire Hathaway Inc.
229,2015-06-10,brk-a,212400,210100,210100,211400,200,211400,Berkshire Hathaway Inc.
230,2015-06-11,brk-a,212740,211420,211780,211940,200,211940,Berkshire Hathaway Inc.
231,2015-06-12,brk-a,212050,210020,212050,210760,100,210760,Berkshire Hathaway Inc.
232,2015-06-15,brk-a,210300,208551,209900,209300,300,209300,Berkshire Hathaway Inc.
233,2015-06-16,brk-a,210000,208640,209350,209760,100,209760,Berkshire Hathaway Inc.
234,2015-06-17,brk-a,211200,209260,210000,210150,100,210150,Berkshire Hathaway Inc.
235,2015-06-18,brk-a,214400,210895,210895,214050,200,214050,Berkshire Hathaway Inc.
